match_id,home_position,home_played_matches,home_wins,home_draws,home_loses,home_goals_scored,home_goals_conceded,home_goal_difference,home_team_wins_in_last_5_matches,home_team_draws_in_last_5_matches,home_team_loses_in_last_5_matches,home_team_scored_goals_in_last_5_matches,home_team_conceded_goals_in_last_5_matches,away_position,away_played_matches,away_wins,away_draws,away_loses,away_goals_scored,away_goals_conceded,away_goal_difference,away_team_wins_in_last_5_matches,away_team_draws_in_last_5_matches,away_team_loses_in_last_5_matches,away_team_scored_goals_in_last_5_matches,away_team_conceded_goals_in_last_5_matches,result,home_odds,draw_odds,away_odds
18190,7,23,10,7,6,33,32,1,3,0,2,5,7,4,23,10,9,4,23,15,8,2,1,2,3,4,1,3.520,3.060,2.290
18191,18,23,5,3,15,22,39,-17,1,0,4,4,7,14,23,7,6,10,25,33,-8,2,2,1,6,5,0,2.440,3.130,3.110
18192,2,23,15,4,4,55,28,27,3,1,1,8,7,3,23,12,6,5,35,20,15,4,0,1,9,3,0,1.430,4.530,7.670
18193,8,23,10,5,8,40,31,9,3,1,1,9,6,11,23,9,2,12,29,34,-5,1,0,4,4,7,0,1.520,4.530,5.820
18194,10,23,9,3,11,27,30,-3,2,0,3,3,5,15,23,5,11,7,19,25,-6,1,3,1,4,4,0,2.460,2.970,3.270
18195,5,23,11,6,6,29,23,6,1,2,2,6,6,20,23,4,6,13,19,40,-21,2,2,1,7,6,1,1.600,3.910,6.000
18196,19,23,4,6,13,18,36,-18,1,2,2,4,8,13,23,7,7,9,32,37,-5,1,2,2,7,6,1,2.450,3.170,3.050
18197,10,23,7,10,6,23,19,4,0,3,2,4,7,12,23,6,10,7,30,32,-2,1,2,2,5,8,2,2.030,3.190,4.090
18198,1,23,15,7,1,44,14,30,5,0,0,11,2,18,23,4,8,11,19,32,-13,1,3,1,4,4,1,1.280,5.940,10.200
18199,12,24,7,8,9,32,37,-5,1,2,2,6,5,18,24,6,3,15,23,39,-16,2,0,3,5,6,1,1.480,4.520,6.700
18200,18,24,4,9,11,21,34,-13,1,3,1,5,5,19,24,4,7,13,18,36,-18,1,2,2,2,6,0,1.860,3.390,4.670
18201,2,24,16,4,4,57,29,28,4,0,1,8,6,16,23,6,6,11,22,32,-10,1,2,2,4,4,0,1.200,7.010,13.360
18202,8,23,11,4,8,39,31,8,2,0,3,7,8,7,24,10,8,6,35,34,1,2,1,2,6,9,0,1.690,4.030,4.790
18203,13,24,9,2,13,30,36,-6,1,0,4,4,7,1,24,15,8,1,46,16,30,4,1,0,10,4,0,6.200,4.930,1.460
18204,12,24,7,10,7,31,32,-1,2,1,2,5,7,9,24,10,3,11,29,31,-2,2,0,3,4,6,2,1.930,3.370,4.250
18205,14,24,7,6,11,25,34,-9,2,1,2,5,5,11,24,7,10,7,23,20,3,0,2,3,3,7,0,2.950,2.900,2.720
18206,15,24,5,11,8,20,27,-7,1,2,2,3,4,20,24,4,7,13,21,42,-21,2,2,1,7,6,0,2.620,2.970,3.020
18207,3,24,12,6,6,36,22,14,4,0,1,10,2,6,24,11,7,6,31,25,6,1,2,2,7,7,2,2.320,3.080,3.390
18208,5,24,10,10,4,25,17,8,1,2,2,3,5,7,24,11,5,8,42,32,10,3,1,1,9,6,0,1.660,3.720,5.630
18209,6,24,12,4,8,42,31,11,3,0,2,9,6,15,25,6,11,8,22,28,-6,2,1,2,5,5,0,1.540,4.040,6.630
18210,16,24,6,6,12,22,37,-15,1,2,2,4,8,10,25,10,2,13,31,36,-5,2,0,3,5,6,0,1.990,3.550,3.780
18211,8,25,10,8,7,35,37,-2,2,1,2,5,8,13,25,7,9,9,35,40,-5,0,3,2,6,8,0,2.210,3.400,3.300
18212,19,25,4,7,14,18,37,-19,1,2,2,2,4,14,25,8,6,11,27,35,-8,2,1,2,6,6,1,2.040,3.060,4.270
18213,9,25,11,3,11,32,31,1,3,0,2,7,5,17,25,5,9,11,22,34,-12,2,2,1,5,4,1,2.810,3.060,2.720
18214,5,25,12,7,6,34,25,9,2,2,1,9,5,12,25,7,10,8,31,35,-4,2,0,3,5,10,0,1.470,4.280,7.290
18215,11,25,7,10,8,24,22,2,0,1,4,3,8,8,25,11,5,9,43,35,8,3,1,1,9,7,0,2.310,3.290,3.180
18216,20,25,4,7,14,22,44,-22,1,2,2,6,7,4,25,11,10,4,28,18,10,2,2,1,6,4,1,4.280,3.060,2.050
18217,18,25,6,4,15,26,42,-16,1,1,3,4,8,6,25,12,6,7,36,25,11,3,0,2,7,5,2,3.610,2.990,2.280
18218,2,25,15,8,2,46,17,29,3,1,1,8,4,1,25,17,4,4,62,29,33,4,0,1,12,6,0,2.190,3.660,3.130
18219,13,26,8,7,11,28,36,-8,2,2,1,6,5,7,26,11,8,7,37,38,-1,2,1,2,5,9,1,2.640,3.230,2.800
18220,16,25,7,6,12,25,37,-12,1,2,2,5,8,18,26,6,4,16,26,43,-17,1,1,3,4,6,2,1.720,3.690,5.130
18221,5,26,11,11,4,29,19,10,2,2,1,7,5,3,26,13,7,6,37,27,10,2,2,1,10,7,1,1.940,3.250,4.450
18222,2,26,17,4,5,62,31,31,4,0,1,12,6,6,25,13,4,8,43,31,12,4,0,1,10,3,0,1.360,5.380,7.910
18223,4,26,13,6,7,37,25,12,3,0,2,7,5,17,26,5,10,11,22,34,-12,2,2,1,5,4,1,1.850,3.270,4.990
18224,13,26,7,10,9,33,38,-5,1,0,4,5,13,20,26,4,8,14,23,45,-22,1,2,2,6,7,0,2.430,3.230,3.060
18225,15,26,6,11,9,22,29,-7,2,1,2,5,5,10,26,8,10,8,25,22,3,1,0,4,3,7,2,2.980,2.820,2.790
18226,12,26,10,2,14,31,39,-8,2,0,3,5,7,9,26,11,4,11,32,31,1,3,1,1,7,3,1,2.060,3.440,3.660
18227,8,26,11,5,10,43,36,7,2,1,2,7,7,19,26,4,8,14,19,38,-19,1,2,2,3,5,2,1.740,3.700,4.970
18228,14,26,7,9,10,36,42,-6,0,3,2,7,9,2,26,16,8,2,48,17,31,3,1,1,9,4,0,4.240,4.020,1.770
18229,16,26,7,6,13,26,39,-13,1,1,3,6,10,6,26,13,4,9,43,32,11,3,0,2,7,4,2,3.340,3.330,2.240
18230,3,27,13,8,6,39,29,10,2,2,1,11,8,12,27,8,9,10,38,43,-5,1,2,2,8,9,0,1.850,3.680,4.350
18231,9,27,11,5,11,33,32,1,2,2,1,6,3,5,27,13,7,7,37,25,12,2,1,2,5,5,0,3.310,2.940,2.460
18232,7,27,11,9,7,38,39,-1,1,2,2,5,10,13,27,10,3,14,32,40,-8,2,1,2,5,6,1,1.730,4.080,4.480
18233,20,27,4,8,15,23,46,-23,1,2,2,5,6,14,27,8,8,11,29,37,-8,2,2,1,6,5,0,2.100,3.200,3.830
18234,17,27,5,11,11,22,34,-12,2,3,0,5,3,9,27,11,5,11,44,38,6,1,1,3,5,8,2,2.590,3.350,2.750
18235,19,27,5,8,14,21,39,-18,1,2,2,3,5,15,27,6,11,10,23,33,-10,1,1,3,5,9,2,2.310,3.020,3.510
18236,18,27,7,4,16,28,44,-16,2,1,2,6,6,1,27,18,4,5,63,31,32,4,0,1,11,5,2,9.910,6.000,1.280
18237,10,27,9,10,8,29,23,6,2,0,3,7,6,6,27,11,12,4,31,21,10,2,3,0,9,6,1,3.740,2.960,2.270
18238,2,27,16,8,3,49,19,30,2,1,2,9,6,16,27,7,6,14,27,41,-14,1,0,4,6,11,0,1.240,6.410,11.840
18239,4,27,14,4,9,45,33,12,4,0,1,8,3,11,27,8,10,9,34,38,-4,2,0,3,5,10,1,1.690,3.890,5.010
